epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.783278,0.7349,2.58293,1.19833,0.00333,1,0.995,0.6965,0.5193,3.18062,1.56526,0,0,0
2,1.75044,0.64667,3.24225,1.08363,0.00333,1,0.995,0.6965,0.48998,3.21804,1.50243,1.802e-05,1.802e-05,1.802e-05
3,2.59007,0.76072,3.57786,1.1515,0.00333,1,0.995,0.796,0.48592,3.24346,1.41698,3.208e-05,3.208e-05,3.208e-05
4,3.39451,0.94358,3.69001,1.30522,0.00333,1,0.995,0.796,0.44113,3.21858,1.44785,4.218e-05,4.218e-05,4.218e-05
5,4.18821,0.71907,3.36549,1.09423,0.00333,1,0.995,0.6965,0.45847,3.145,1.47597,4.832e-05,4.832e-05,4.832e-05
6,4.95874,0.52347,2.80768,1.1919,0.00333,1,0.995,0.6965,0.47344,3.14915,1.48009,5.05e-05,5.05e-05,5.05e-05
7,5.75225,0.66087,3.2227,1.01949,0.00333,1,0.995,0.6965,0.47199,3.19581,1.44867,4.872e-05,4.872e-05,4.872e-05
8,6.57829,0.48527,3.10671,1.00463,0.00333,1,0.995,0.6965,0.45118,3.21893,1.43723,4.298e-05,4.298e-05,4.298e-05
9,7.33249,0.34247,2.55723,0.95207,0.00333,1,0.995,0.6965,0.42647,3.21461,1.39586,3.328e-05,3.328e-05,3.328e-05
10,8.12456,0.49887,2.81389,1.07681,0.00333,1,0.995,0.6965,0.39186,3.23593,1.39676,1.962e-05,1.962e-05,1.962e-05
